,Unnamed: 0,onset,duration,trial_type,word,n_closing,is_last_word,pos,content_word,sequence_id
0,0,3.12,0.1200000000000001,"{'kind': 'word', 'word': 'mais'}",mais,1,False,CC,False,0
1,1,3.3,0.08,"{'kind': 'word', 'word': 'il'}",il,1,False,CLS-SUJ,False,0
2,2,3.44,0.4100000000000001,"{'kind': 'word', 'word': 'arriva'}",arriva,2,False,V,True,0
3,3,3.91,0.02,"{'kind': 'word', 'word': 'que'}",que,1,False,CS,False,0
4,4,4.11,0.0599999999999996,"{'kind': 'word', 'word': 'le'}",le,1,False,DET,False,0
5,5,4.17,0.3399999999999998,"{'kind': 'word', 'word': 'petit'}",petit,1,False,ADJ,True,0
6,6,4.51,0.5899999999999999,"{'kind': 'word', 'word': 'prince'}",prince,1,False,NC,True,0
7,7,5.26,0.3700000000000001,"{'kind': 'word', 'word': 'ayant'}",ayant,1,False,VPR,False,0
8,8,5.63,0.6399999999999997,"{'kind': 'word', 'word': 'longtemps'}",longtemps,1,False,ADV,True,0
9,9,6.27,0.4200000000000008,"{'kind': 'word', 'word': 'marché'}",marché,2,False,VPP,True,0
10,10,6.69,0.0799999999999991,"{'kind': 'word', 'word': 'à'}",à,1,False,P,False,0
11,11,6.77,0.3400000000000007,"{'kind': 'word', 'word': 'travers'}",travers,2,False,NC,True,0
12,12,7.11,0.1399999999999996,"{'kind': 'word', 'word': 'les'}",les,1,False,DET,False,0
13,13,7.25,0.54,"{'kind': 'word', 'word': 'sables'}",sables,1,False,NC,True,0
14,14,8.05,0.1799999999999997,"{'kind': 'word', 'word': 'les'}",les,1,False,DET,False,0
15,15,8.23,0.4399999999999995,"{'kind': 'word', 'word': 'rocs'}",rocs,3,False,NC,True,0
16,16,8.8,0.0899999999999998,"{'kind': 'word', 'word': 'et'}",et,1,False,CC,False,0
17,17,8.89,0.1199999999999992,"{'kind': 'word', 'word': 'les'}",les,1,False,DET,False,0
18,18,9.01,0.5199999999999996,"{'kind': 'word', 'word': 'neiges'}",neiges,7,False,NC,True,0
19,19,9.92,0.6600000000000001,"{'kind': 'word', 'word': 'découvrit'}",découvrit,2,False,V,True,0
20,20,10.58,0.5500000000000007,"{'kind': 'word', 'word': 'enfin'}",enfin,1,False,ADV,True,0
21,21,11.13,0.2699999999999996,"{'kind': 'word', 'word': 'une'}",une,1,False,DET,False,0
