,Unnamed: 0,onset,duration,trial_type,word,n_closing,is_last_word,pos,content_word,sequence_id
0,0,3.06,0.02,"{'kind': 'word', 'word': 'le'}",le,1,False,DET,False,0
1,1,3.27,0.3799999999999999,"{'kind': 'word', 'word': 'cinquième'}",cinquième,1,False,ADJ,True,0
2,2,3.71,0.29,"{'kind': 'word', 'word': 'jour'}",jour,2,False,NC,True,0
3,3,4.4,0.3599999999999994,"{'kind': 'word', 'word': 'toujours'}",toujours,1,False,ADV,True,0
4,4,4.82,0.2099999999999999,"{'kind': 'word', 'word': 'grâce'}",grâce,1,False,NC,True,0
5,5,5.09,0.0250000000000003,"{'kind': 'word', 'word': 'au'}",au,3,False,P+D,False,0
6,6,5.115,0.0249999999999994,"{'kind': 'word', 'word': ' '}", ,1,False,XXX,False,0
7,7,5.21,0.3099999999999996,"{'kind': 'word', 'word': 'mouton'}",mouton,3,False,NC,True,0
8,8,5.96,0.1200000000000001,"{'kind': 'word', 'word': 'ce'}",ce,1,False,DET,False,0
9,9,6.14,0.3700000000000001,"{'kind': 'word', 'word': 'secret'}",secret,1,False,NC,True,0
10,10,6.57,0.0699999999999994,"{'kind': 'word', 'word': 'de'}",de,1,False,P,False,0
11,11,6.7,0.0999999999999996,"{'kind': 'word', 'word': 'la'}",la,1,False,DET,False,0
12,12,6.86,0.1399999999999996,"{'kind': 'word', 'word': 'vie'}",vie,1,False,NC,True,0
13,13,7.06,0.0300000000000002,"{'kind': 'word', 'word': 'du'}",du,1,False,P+D,False,0
14,14,7.09,0.0300000000000002,"{'kind': 'word', 'word': ' '}", ,1,False,XXX,False,0
15,15,7.18,0.2300000000000004,"{'kind': 'word', 'word': 'petit'}",petit,1,False,ADJ,True,0
16,16,7.48,0.4299999999999997,"{'kind': 'word', 'word': 'prince'}",prince,6,False,NC,True,0
17,17,7.97,0.0900000000000007,"{'kind': 'word', 'word': 'me'}",me,1,False,CLO-A_OBJ,False,0
18,18,8.06,0.2299999999999986,"{'kind': 'word', 'word': 'fut'}",fut,1,False,V,True,0
19,19,8.29,0.5800000000000001,"{'kind': 'word', 'word': 'révélé'}",révélé,3,True,VPP,True,0
20,20,9.65,0.2400000000000002,"{'kind': 'word', 'word': 'il'}",il,1,False,CLS-SUJ,False,1
21,21,9.89,0.1699999999999999,"{'kind': 'word', 'word': 'me'}",me,1,False,CLO-A_OBJ,False,1
22,22,10.13,0.5499999999999989,"{'kind': 'word', 'word': 'demanda'}",demanda,2,False,V,True,1
23,23,10.68,0.2400000000000002,"{'kind': 'word', 'word': 'avec'}",avec,1,False,P,False,1
24,24,10.92,0.6999999999999993,"{'kind': 'word', 'word': 'brusquerie'}",brusquerie,3,False,NC,True,1
25,25,11.81,0.2799999999999993,"{'kind': 'word', 'word': 'sans'}",sans,1,False,P,False,1
26,26,12.09,0.6899999999999995,"{'kind': 'word', 'word': 'préambule'}",préambule,3,False,NC,True,1
27,27,12.98,0.2199999999999988,"{'kind': 'word', 'word': 'comme'}",comme,1,False,P,False,1
28,28,13.2,0.200000000000001,"{'kind': 'word', 'word': 'le'}",le,1,False,DET,False,1
